year,month_num,final_region,total_sales,total_items,prev_year_sales,sales_growth
2021,7,Colima,60111.229999999996,48,,
2021,7,Durango,56051.41,52,,
2021,7,Guanajuato,138086.47999999998,130,,
2021,7,Guerrero,77667.63,62,,
2021,7,Hidalgo,79923.79000000001,72,,
2021,7,Jalisco,761303.34,662,,
2021,7,Michoacán,203504.56,158,,
2021,7,Morelos,46229.409999999996,45,,
2021,7,México,619210.41,550,,
2021,7,Nayarit,55888.189999999995,61,,
2021,7,Nuevo León,606310.48,571,,
2021,7,Oaxaca,61655.91,45,,
2021,7,Puebla,150530.53,131,,
2021,7,Querétaro,157787.74999999997,151,,
2021,7,Quintana Roo,73053.37999999999,75,,
2021,7,San Luis Potosí,105730.34999999999,85,,
2021,7,Sinaloa,271071.19,244,,
2021,7,Sonora,92285.57,81,,
2021,7,Tabasco,66851.42,57,,
2021,7,Tamaulipas,178136.51,161,,
2021,7,Tlaxcala,22567.739999999998,16,,
2021,7,Veracruz,211979.97,196,,
2021,7,Yucatán,79147.87,81,,
2021,7,Zacatecas,38534.520000000004,32,,
2021,8,Aguascalientes,90908.77,86,,
2021,8,Baja California,176043.75,145,,
2021,8,Baja California Sur,55237.1,43,,
2021,8,Campeche,28820.83,28,,
2021,8,Chiapas,113625.82999999999,94,,
2021,8,Chihuahua,209438.97000000003,176,,
2021,8,Ciudad de México,1794372.51,1436,,
2021,8,Coahuila,180254.52,150,,
2021,8,Colima,59390.87000000001,55,,
2021,8,Durango,55918.54,43,,
2021,8,Guanajuato,239839.37999999998,195,,
2021,8,Guerrero,56439.47,43,,
2021,8,Hidalgo,143289.52,114,,
2021,8,Jalisco,1000729.3099999999,807,,
2021,8,Michoacán,296023.99,219,,
2021,8,Morelos,91187.62,74,,
2021,8,México,1116719.87,886,,
2021,8,Nayarit,68871.57,57,,
2021,8,Nuevo León,947304.5000000001,805,,
2021,8,Oaxaca,104777.1,88,,
2021,8,Puebla,284655.14,221,,
2021,8,Querétaro,250444.46,206,,
2021,8,Quintana Roo,96853.8,92,,
2021,8,San Luis Potosí,143196.22,127,,
2021,8,Sinaloa,350451.33,296,,
2021,8,Sonora,133247.27,109,,
2021,8,Tabasco,40954.68,36,,
2021,8,Tamaulipas,210269.16999999998,173,,
2021,8,Tlaxcala,16083.359999999999,16,,
2021,8,Veracruz,279777.54000000004,246,,
2021,8,Yucatán,122537.78000000001,103,,
2021,8,Zacatecas,53117.3,36,,
2021,9,Aguascalientes,50966.19,30,,
2021,9,Baja California,195208.9,125,,
2021,9,Baja California Sur,46665.84,38,,
2021,9,Campeche,32848.43,24,,
2021,9,Chiapas,74065.29,53,,
2021,9,Chihuahua,215195.71000000002,132,,
2021,9,Ciudad de México,1308841.02,905,,
2021,9,Coahuila,212146.71,142,,
2021,9,Colima,112649.68999999999,73,,
2021,9,Durango,98776.34,58,,
2021,9,Guanajuato,258100.06,165,,
2021,9,Guerrero,38479.9,28,,
2021,9,Hidalgo,104181.32,68,,
2021,9,Jalisco,900758.32,602,,
2021,9,Michoacán,254728.81,167,,
2021,9,Morelos,68380.76000000001,47,,
2021,9,México,822400.9600000001,540,,
2021,9,Nayarit,75147.01999999999,46,,
2021,9,Nuevo León,659116.25,449,,
2021,9,Oaxaca,95178.76,70,,
2021,9,Puebla,220012.9,144,,
2021,9,Querétaro,251650.24000000002,175,,
